time,channel,unit,temperature,humidity
08:15,main,main,19.7,53
08:15,1,1,19.7,62
08:15,2,2,19.8,54
08:15,3,3,19.4,57
10:25,main,main,20.8,59
10:25,1,1,20.9,65
10:25,2,2,20.8,58
10:25,3,3,20.6,60
16:08,main,main,33.0,47
16:08,1,1,32.1,52
16:08,2,2,32.6,52
16:08,3,3,32.4,54
